timestamp_v3,parrafo,texto_narration_txt,fuente_v3,diagnostico,estado_audio_original,reparacion_propuesta,necesita_elevenlabs,caracteres,creditos_estimados,previous_text,next_text
"29:47","p325","Ayúdanos mañana a responder sin herir, sin decidir desde el pánico y sin callar por temor cuando debamos hablar con claridad.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 0.93s)","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"30:59","p335","Las cuentas, las deudas, los gastos inesperados y el temor de que no alcance para sostener el hogar.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 1.00s); Orlando lo describio como 'corte' pero la evidencia de alineacion coincide con el mismo patron de cola que los demas casos de barrido","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"34:08","p366","La lucha que hemos escondido detrás de una apariencia tranquila.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 1.14s)","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"38:23","p414","Tú conoces esa historia.","original sin cambios","ERROR_INTERNO_TTS","texto correcto (una sola 'conoces'); la voz produjo un tartamudeo tipo 'conocesces'","regeneracion completa del parrafo","si","24","6.4","Tal vez la vida les enseñó que una noticia puede cambiarlo todo en pocos segundos.","Conoces las heridas que existen detrás de esta necesidad de control."
"39:33","p427","No tenemos que mantenernos despiertos para merecer una nueva oportunidad.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 0.97s)","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"40:07","p432","Soltamos la idea de que cinco minutos más de preocupación producirán la certeza que no encontramos durante todo el día.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 0.71s)","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"43:18","p466","Y no tenemos que cargar hoy con todos los cuidados de mañana.","original sin cambios (previamente marcado inconcluso en el pase 3)","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 0.68s); ahora confirmado por oido","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"45:33","p497","Pero tu carácter permanece.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 0.21s, la mas corta de este pase, margen ajustado)","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"45:57","p504","Y ahora, una noche de descanso.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 1.12s)","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"47:34","p526","Gracias por la enseñanza de Jesús.","original sin cambios (previamente marcado inconcluso en el pase 3)","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 0.97s); ahora confirmado por oido","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"48:35","p541","En el nombre de Jesús.","original sin cambios (previamente marcado inconcluso en el pase 3)","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 0.36s); el residuo suena parecido al arranque de 'Amen' pero NO es la palabra 'Amen' -- ver nota sobre p542","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"48:43","p542","Amén.","original sin cambios","SIN_DEFECTO","limpio y correcto","ninguna -- narration.txt solo declara un 'Amen' (p542); no hay duplicacion en el guion que resolver","no","","","",""
